X,Y,Z,roll,pitch,yaw,img,path,camID
177054.0376,2535878.9122,46.8196,-85.140821518,-0.9953669270000001,-128.877500986,200721_022540053_Camera_2.jpg,/home/chihyu/Desktop/Camera/WhiteBalance058/200721_022528/Camera2,2
177051.3274,2535884.9267,46.7812,-85.40390290100001,-1.132598491,-128.857797245,200721_022541053_Camera_2.jpg,/home/chihyu/Desktop/Camera/WhiteBalance058/200721_022528/Camera2,2
177048.7517,2535890.5993,46.7712,-85.170632686,-0.905829915,-128.649604477,200721_022542053_Camera_2.jpg,/home/chihyu/Desktop/Camera/WhiteBalance058/200721_022528/Camera2,2
177046.3739,2535895.7903,46.7638,-85.25909720899999,-0.5216597510000001,-128.706972719,200721_022543053_Camera_2.jpg,/home/chihyu/Desktop/Camera/WhiteBalance058/200721_022528/Camera2,2
177044.2566,2535900.4718,46.7627,-85.207359504,-0.9303069009999999,-129.156278174,200721_022544053_Camera_2.jpg,/home/chihyu/Desktop/Camera/WhiteBalance058/200721_022528/Camera2,2
177042.5361,2535904.3383,46.7737,-84.808490248,-0.8519784140000001,-128.53363451,200721_022545053_Camera_2.jpg,/home/chihyu/Desktop/Camera/WhiteBalance058/200721_022528/Camera2,2
177041.2226,2535907.2031,46.7605,-84.899928661,-1.152204064,-126.05835259,200721_022546054_Camera_2.jpg,/home/chihyu/Desktop/Camera/WhiteBalance058/200721_022528/Camera2,2
177040.1549,2535909.3225,46.7387,-85.096393747,-1.715543697,-116.067279328,200721_022547054_Camera_2.jpg,/home/chihyu/Desktop/Camera/WhiteBalance058/200721_022528/Camera2,2
177038.846,2535911.0393,46.7168,-85.216737553,-1.4611776159999998,-94.621367125,200721_022548054_Camera_2.jpg,/home/chihyu/Desktop/Camera/WhiteBalance058/200721_022528/Camera2,2
177036.8527,2535912.1905,46.6801,-85.695136515,-1.869105065,-69.763908555,200721_022549054_Camera_2.jpg,/home/chihyu/Desktop/Camera/WhiteBalance058/200721_022528/Camera2,2
177034.2817,2535912.3552,46.6641,-85.855632712,-1.7725555569999998,-41.649019055,200721_022550054_Camera_2.jpg,/home/chihyu/Desktop/Camera/WhiteBalance058/200721_022528/Camera2,2
177032.0578,2535911.3811,46.662,-86.01672202700001,-1.639607904,-15.154737563,200721_022551054_Camera_2.jpg,/home/chihyu/Desktop/Camera/WhiteBalance058/200721_022528/Camera2,2
177030.562,2535909.621,46.6722,-85.772469271,-1.372111029,10.061557602,200721_022552054_Camera_2.jpg,/home/chihyu/Desktop/Camera/WhiteBalance058/200721_022528/Camera2,2
